,predicted,target
0,1.4544122,1.5338992884997957
1,-0.9792657,-0.9245925425822884
2,1.0716513,1.298463423792637
3,-0.58234864,-0.6092877680404284
4,1.3349879,1.3806202285486608
5,-0.72999364,-0.7466608635248247
6,1.4410871,-0.3506938286860305
7,-0.86905456,-0.8704080018362005
8,-0.8063775,-0.8154600514183775
9,0.6051752,0.5864958934628548
10,-0.62033355,-0.7093705747899403
11,0.7461148,0.7366285143737009
12,1.4262394,1.4919326829133046
13,-0.930349,-0.9245925425822884
14,-0.32813564,-0.3506938286860305
15,1.3349879,1.3806202285486608
16,-0.5743116,-0.6159604595359709
17,-0.8354754,-0.8409871508708727
18,0.9863515,0.7443671623998135
19,1.2638321,1.298463423792637
